#    L    TT             EE             BB             TE          
   218  -0.257938E+06   0.842617E+00   0.166633E-01   0.930641E+01
   219  -0.285966E+06   0.863211E+00   0.168294E-01   0.106523E+02
   220  -0.311508E+06   0.885314E+00   0.169963E-01   0.120191E+02
   221  -0.334334E+06   0.908953E+00   0.171638E-01   0.134059E+02
   222  -0.354241E+06   0.934173E+00   0.173319E-01   0.148119E+02
   223  -0.371048E+06   0.960996E+00   0.175007E-01   0.162360E+02
   224  -0.384602E+06   0.989458E+00   0.176702E-01   0.176773E+02
   225  -0.394777E+06   0.101958E+01   0.178403E-01   0.191349E+02
   226  -0.401475E+06   0.105141E+01   0.180109E-01   0.206078E+02
   227  -0.404628E+06   0.108497E+01   0.181822E-01   0.220950E+02
   228  -0.404200E+06   0.112029E+01   0.183541E-01   0.235955E+02
   229  -0.400185E+06   0.115741E+01   0.185265E-01   0.251085E+02
   230  -0.392606E+06   0.119634E+01   0.186995E-01   0.266330E+02
   231  -0.381518E+06   0.123711E+01   0.188730E-01   0.281678E+02
   232  -0.367009E+06   0.127976E+01   0.190470E-01   0.297121E+02
   233  -0.349194E+06   0.132430E+01   0.192214E-01   0.312649E+02
   234  -0.328216E+06   0.137077E+01   0.193964E-01   0.328251E+02
   235  -0.304249E+06   0.141919E+01   0.195717E-01   0.343919E+02
   236  -0.277490E+06   0.146960E+01   0.197475E-01   0.359641E+02
   237  -0.248163E+06   0.152199E+01   0.199237E-01   0.375408E+02
   238  -0.216514E+06   0.157640E+01   0.201002E-01   0.391210E+02
   239  -0.182808E+06   0.163284E+01   0.202770E-01   0.407038E+02
   240  -0.147332E+06   0.169135E+01   0.204542E-01   0.422878E+02
   241  -0.110386E+06   0.175195E+01   0.206316E-01   0.438724E+02
   242  -0.722842E+05   0.181464E+01   0.208093E-01   0.454565E+02
   243  -0.333523E+05   0.187945E+01   0.209872E-01   0.470389E+02
   244   0.607669E+04   0.194639E+01   0.211653E-01   0.486189E+02
   245   0.456644E+05   0.201548E+01   0.213436E-01   0.501954E+02
   246   0.850703E+05   0.208673E+01   0.215220E-01   0.517674E+02
   247   0.123955E+06   0.216017E+01   0.217005E-01   0.533340E+02
   248   0.161981E+06   0.223580E+01   0.218791E-01   0.548941E+02
   249   0.198821E+06   0.231362E+01   0.220578E-01   0.564469E+02
   250   0.234153E+06   0.239367E+01   0.222365E-01   0.579912E+02
   251   0.267670E+06   0.247593E+01   0.224151E-01   0.595260E+02
   252   0.299080E+06   0.256043E+01   0.225938E-01   0.610505E+02
   253   0.328106E+06   0.264715E+01   0.227724E-01   0.625638E+02
   254   0.354494E+06   0.273612E+01   0.229509E-01   0.640649E+02
   255   0.378010E+06   0.282732E+01   0.231293E-01   0.655529E+02
   256   0.398445E+06   0.292078E+01   0.233076E-01   0.670271E+02
   257   0.415616E+06   0.301648E+01   0.234857E-01   0.684868E+02
   258   0.429369E+06   0.311443E+01   0.236637E-01   0.699307E+02
   259   0.439577E+06   0.321464E+01   0.238414E-01   0.713592E+02
   260   0.446146E+06   0.331709E+01   0.240189E-01   0.727701E+02
   261   0.449009E+06   0.342179E+01   0.241962E-01   0.741639E+02
   262   0.448135E+06   0.352874E+01   0.243733E-01   0.755392E+02
   263   0.443523E+06   0.363794E+01   0.245500E-01   0.768957E+02
   264   0.435205E+06   0.374937E+01   0.247265E-01   0.782320E+02
   265   0.423245E+06   0.386303E+01   0.249027E-01   0.795486E+02
   266   0.407738E+06   0.397890E+01   0.250785E-01   0.808432E+02
   267   0.388810E+06   0.409697E+01   0.252540E-01   0.821150E+02
   268   0.366616E+06   0.421723E+01   0.254292E-01   0.833647E+02
   269   0.341342E+06   0.433967E+01   0.256040E-01   0.845899E+02
   270   0.313198E+06   0.446428E+01   0.257784E-01   0.857912E+02
   271   0.282420E+06   0.459104E+01   0.259525E-01   0.869663E+02
   272   0.249268E+06   0.471993E+01   0.261262E-01   0.881159E+02
   273   0.214022E+06   0.485092E+01   0.262994E-01   0.892384E+02
   274   0.176981E+06   0.498402E+01   0.264723E-01   0.903343E+02
   275   0.138460E+06   0.511918E+01   0.266447E-01   0.914015E+02
   276   0.987874E+05   0.525639E+01   0.268167E-01   0.924404E+02
   277   0.583016E+05   0.539564E+01   0.269884E-01   0.934495E+02
   278   0.173490E+05   0.553689E+01   0.271595E-01   0.944279E+02
   279  -0.237196E+05   0.568011E+01   0.273303E-01   0.953763E+02
   280  -0.645516E+05   0.582527E+01   0.275006E-01   0.962931E+02
   281  -0.104796E+06   0.597236E+01   0.276704E-01   0.971781E+02
   282  -0.144106E+06   0.612132E+01   0.278398E-01   0.980306E+02
   283  -0.182144E+06   0.627215E+01   0.280088E-01   0.988495E+02
   284  -0.218579E+06   0.642480E+01   0.281773E-01   0.996341E+02
   285  -0.253097E+06   0.657923E+01   0.283453E-01   0.100384E+03
   286  -0.285399E+06   0.673543E+01   0.285129E-01   0.101100E+03
   287  -0.315205E+06   0.689333E+01   0.286800E-01   0.101780E+03
   288  -0.342253E+06   0.705292E+01   0.288466E-01   0.102423E+03
   289  -0.366309E+06   0.721415E+01   0.290128E-01   0.103031E+03
   290  -0.387162E+06   0.737698E+01   0.291784E-01   0.103600E+03
   291  -0.404627E+06   0.754139E+01   0.293436E-01   0.104132E+03
   292  -0.418552E+06   0.770724E+01   0.295083E-01   0.104626E+03
   293  -0.428810E+06   0.787462E+01   0.296725E-01   0.105081E+03
   294  -0.435311E+06   0.804344E+01   0.298362E-01   0.105496E+03
   295  -0.437992E+06   0.821355E+01   0.299993E-01   0.105872E+03
   296  -0.436827E+06   0.838504E+01   0.301620E-01   0.106208E+03
   297  -0.431820E+06   0.855774E+01   0.303241E-01   0.106502E+03
   298  -0.423010E+06   0.873167E+01   0.304856E-01   0.106754E+03
   299  -0.410469E+06   0.890675E+01   0.306467E-01   0.106965E+03
   300  -0.394300E+06   0.908290E+01   0.308071E-01   0.107134E+03
   301  -0.374638E+06   0.926020E+01   0.309670E-01   0.107261E+03
   302  -0.351647E+06   0.943842E+01   0.311263E-01   0.107346E+03
   303  -0.325523E+06   0.961764E+01   0.312850E-01   0.107389E+03
   304  -0.296486E+06   0.979779E+01   0.314431E-01   0.107392E+03
   305  -0.264782E+06   0.997879E+01   0.316006E-01   0.107352E+03
   306  -0.230682E+06   0.101606E+02   0.317575E-01   0.107273E+03
   307  -0.194477E+06   0.103432E+02   0.319137E-01   0.107152E+03
   308  -0.156475E+06   0.105264E+02   0.320693E-01   0.106992E+03
   309  -0.117002E+06   0.107103E+02   0.322242E-01   0.106792E+03
   310  -0.763958E+05   0.108947E+02   0.323785E-01   0.106553E+03
   311  -0.350046E+05   0.110796E+02   0.325321E-01   0.106274E+03
   312   0.681623E+04   0.112649E+02   0.326849E-01   0.105956E+03
   313   0.487073E+05   0.114507E+02   0.328371E-01   0.105600E+03
   314   0.903083E+05   0.116367E+02   0.329886E-01   0.105207E+03
   315   0.131261E+06   0.118228E+02   0.331393E-01   0.104775E+03
   316   0.171212E+06   0.120093E+02   0.332893E-01   0.104306E+03
   317   0.209818E+06   0.121957E+02   0.334386E-01   0.103801E+03
   318   0.246744E+06   0.123823E+02   0.335871E-01   0.103260E+03
   319   0.281671E+06   0.125687E+02   0.337349E-01   0.102684E+03
   320   0.314296E+06   0.127552E+02   0.338819E-01   0.102072E+03
   321   0.344338E+06   0.129414E+02   0.340281E-01   0.101427E+03
   322   0.371535E+06   0.131274E+02   0.341736E-01   0.100746E+03
   323   0.395651E+06   0.133131E+02   0.343183E-01   0.100033E+03
   324   0.416475E+06   0.134984E+02   0.344622E-01   0.992875E+02
   325   0.433825E+06   0.136833E+02   0.346053E-01   0.985096E+02
   326   0.447549E+06   0.138677E+02   0.347477E-01   0.977005E+02
   327   0.457526E+06   0.140514E+02   0.348893E-01   0.968599E+02
   328   0.463666E+06   0.142345E+02   0.350301E-01   0.959889E+02
   329   0.465914E+06   0.144169E+02   0.351702E-01   0.950896E+02
   330   0.464247E+06   0.145984E+02   0.353096E-01   0.941607E+02
   331   0.458675E+06   0.147791E+02   0.354481E-01   0.932037E+02
   332   0.449244E+06   0.149589E+02   0.355860E-01   0.922188E+02
   333   0.436031E+06   0.151376E+02   0.357231E-01   0.912080E+02
   334   0.419146E+06   0.153152E+02   0.358595E-01   0.901710E+02
   335   0.398733E+06   0.154917E+02   0.359952E-01   0.891090E+02
   336   0.374963E+06   0.156669E+02   0.361303E-01   0.880224E+02
   337   0.348038E+06   0.158408E+02   0.362646E-01   0.869131E+02
   338   0.318187E+06   0.160134E+02   0.363983E-01   0.857808E+02
   339   0.285664E+06   0.161846E+02   0.365314E-01   0.846275E+02
   340   0.250746E+06   0.163543E+02   0.366638E-01   0.834535E+02
   341   0.213732E+06   0.165224E+02   0.367957E-01   0.822593E+02
   342   0.174937E+06   0.166888E+02   0.369269E-01   0.810453E+02
   343   0.134694E+06   0.168536E+02   0.370576E-01   0.798134E+02
   344   0.933459E+05   0.170164E+02   0.371878E-01   0.785633E+02
   345   0.512481E+05   0.171774E+02   0.373175E-01   0.772962E+02
   346   0.876072E+04   0.173364E+02   0.374467E-01   0.760124E+02
   347  -0.337520E+05   0.174933E+02   0.375754E-01   0.747132E+02
   348  -0.759254E+05   0.176481E+02   0.377037E-01   0.733990E+02
   349  -0.117398E+06   0.178007E+02   0.378316E-01   0.720724E+02
   350  -0.157813E+06   0.179511E+02   0.379590E-01   0.707331E+02
   351  -0.196825E+06   0.180993E+02   0.380861E-01   0.693828E+02
   352  -0.234097E+06   0.182452E+02   0.382129E-01   0.680220E+02
   353  -0.269310E+06   0.183887E+02   0.383394E-01   0.666500E+02
   354  -0.302161E+06   0.185299E+02   0.384655E-01   0.652686E+02
   355  -0.332367E+06   0.186685E+02   0.385914E-01   0.638765E+02
   356  -0.359669E+06   0.188046E+02   0.387170E-01   0.624738E+02
   357  -0.383833E+06   0.189381E+02   0.388425E-01   0.610609E+02
   358  -0.404649E+06   0.190690E+02   0.389677E-01   0.596379E+02
   359  -0.421938E+06   0.191970E+02   0.390927E-01   0.582043E+02
   360  -0.435553E+06   0.193223E+02   0.392176E-01   0.567611E+02
   361  -0.445374E+06   0.194446E+02   0.393423E-01   0.553066E+02
   362  -0.451318E+06   0.195641E+02   0.394670E-01   0.538422E+02
   363  -0.453333E+06   0.196804E+02   0.395915E-01   0.523680E+02
   364  -0.451400E+06   0.197938E+02   0.397159E-01   0.508841E+02
   365  -0.445537E+06   0.199041E+02   0.398403E-01   0.493908E+02
   366  -0.435792E+06   0.200112E+02   0.399646E-01   0.478885E+02
   367  -0.422250E+06   0.201151E+02   0.400889E-01   0.463772E+02
   368  -0.405025E+06   0.202157E+02   0.402132E-01   0.448573E+02
   369  -0.384266E+06   0.203132E+02   0.403375E-01   0.433290E+02
   370  -0.360151E+06   0.204071E+02   0.404618E-01   0.417926E+02
   371  -0.332886E+06   0.204979E+02   0.405861E-01   0.402483E+02
   372  -0.302705E+06   0.205851E+02   0.407105E-01   0.386964E+02
   373  -0.269868E+06   0.206690E+02   0.408349E-01   0.371372E+02
   374  -0.234655E+06   0.207494E+02   0.409594E-01   0.355709E+02
   375  -0.197370E+06   0.208263E+02   0.410839E-01   0.339976E+02
   376  -0.158332E+06   0.208996E+02   0.412086E-01   0.324178E+02
   377  -0.117875E+06   0.209693E+02   0.413333E-01   0.308315E+02
   378  -0.763484E+05   0.210353E+02   0.414581E-01   0.292392E+02
   379  -0.341073E+05   0.210976E+02   0.415830E-01   0.276409E+02
   380   0.848552E+04   0.211561E+02   0.417081E-01   0.260371E+02
   381   0.510646E+05   0.212109E+02   0.418333E-01   0.244278E+02
   382   0.932645E+05   0.212618E+02   0.419586E-01   0.228134E+02
   383   0.134723E+06   0.213089E+02   0.420840E-01   0.211942E+02
   384   0.175085E+06   0.213522E+02   0.422096E-01   0.195706E+02
   385   0.214004E+06   0.213916E+02   0.423354E-01   0.179429E+02
   386   0.251146E+06   0.214271E+02   0.424614E-01   0.163115E+02
   387   0.286192E+06   0.214588E+02   0.425875E-01   0.146767E+02
   388   0.318844E+06   0.214867E+02   0.427138E-01   0.130388E+02
   389   0.348819E+06   0.215108E+02   0.428403E-01   0.113982E+02
   390   0.375863E+06   0.215309E+02   0.429671E-01   0.975526E+01
   391   0.399743E+06   0.215472E+02   0.430940E-01   0.811022E+01
