#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   106   0.292842E+04   0.199456E+02   0.180340E-03   0.199456E+02   0.859490E+00  -0.173969E-05   0.180340E-03  -0.173969E-05   0.995562E-07
   107   0.296261E+04   0.200452E+02   0.169529E-03   0.200452E+02   0.873082E+00  -0.175360E-05   0.169529E-03  -0.175360E-05   0.988405E-07
   108   0.299036E+04   0.200326E+02   0.159739E-03   0.200326E+02   0.886429E+00  -0.176624E-05   0.159739E-03  -0.176624E-05   0.981370E-07
   109   0.300966E+04   0.198857E+02   0.151200E-03   0.198857E+02   0.899525E+00  -0.177739E-05   0.151200E-03  -0.177739E-05   0.974472E-07
   110   0.301853E+04   0.195823E+02   0.144142E-03   0.195823E+02   0.912349E+00  -0.178682E-05   0.144142E-03  -0.178682E-05   0.967724E-07
   111   0.301548E+04   0.191056E+02   0.138737E-03   0.191056E+02   0.924892E+00  -0.179436E-05   0.138737E-03  -0.179436E-05   0.961137E-07
   112   0.300124E+04   0.184603E+02   0.134931E-03   0.184603E+02   0.937147E+00  -0.179997E-05   0.134931E-03  -0.179997E-05   0.954708E-07
   113   0.297705E+04   0.176561E+02   0.132613E-03   0.176561E+02   0.949092E+00  -0.180366E-05   0.132613E-03  -0.180366E-05   0.948428E-07
   114   0.294414E+04   0.167031E+02   0.131671E-03   0.167031E+02   0.960712E+00  -0.180543E-05   0.131671E-03  -0.180543E-05   0.942290E-07
   115   0.290376E+04   0.156111E+02   0.131995E-03   0.156111E+02   0.972006E+00  -0.180529E-05   0.131995E-03  -0.180529E-05   0.936287E-07
   116   0.285715E+04   0.143899E+02   0.133472E-03   0.143899E+02   0.982959E+00  -0.180325E-05   0.133472E-03  -0.180325E-05   0.930411E-07
   117   0.280557E+04   0.130495E+02   0.135992E-03   0.130495E+02   0.993549E+00  -0.179931E-05   0.135992E-03  -0.179931E-05   0.924654E-07
   118   0.275025E+04   0.115999E+02   0.139444E-03   0.115999E+02   0.100378E+01  -0.179347E-05   0.139444E-03  -0.179347E-05   0.919008E-07
   119   0.269242E+04   0.100508E+02   0.143716E-03   0.100508E+02   0.101362E+01  -0.178576E-05   0.143716E-03  -0.178576E-05   0.913467E-07
   120   0.263335E+04   0.841214E+01   0.148697E-03   0.841214E+01   0.102309E+01  -0.177616E-05   0.148697E-03  -0.177616E-05   0.908022E-07
   121   0.257427E+04   0.669388E+01   0.154275E-03   0.669388E+01   0.103215E+01  -0.176469E-05   0.154275E-03  -0.176469E-05   0.902665E-07
   122   0.251641E+04   0.490580E+01   0.160341E-03   0.490580E+01   0.104080E+01  -0.175135E-05   0.160341E-03  -0.175135E-05   0.897390E-07
   123   0.246102E+04   0.305784E+01   0.166782E-03   0.305784E+01   0.104903E+01  -0.173616E-05   0.166782E-03  -0.173616E-05   0.892188E-07
   124   0.240935E+04   0.115992E+01   0.173486E-03   0.115992E+01   0.105684E+01  -0.171911E-05   0.173486E-03  -0.171911E-05   0.887052E-07
   125   0.236263E+04  -0.778149E+00   0.180344E-03  -0.778149E+00   0.106421E+01  -0.170021E-05   0.180344E-03  -0.170021E-05   0.881974E-07
   126   0.232211E+04  -0.274652E+01   0.187244E-03  -0.274652E+01   0.107114E+01  -0.167947E-05   0.187244E-03  -0.167947E-05   0.876947E-07
   127   0.228903E+04  -0.473526E+01   0.194074E-03  -0.473526E+01   0.107762E+01  -0.165690E-05   0.194074E-03  -0.165690E-05   0.871963E-07
   128   0.226462E+04  -0.673457E+01   0.200723E-03  -0.673457E+01   0.108363E+01  -0.163249E-05   0.200723E-03  -0.163249E-05   0.867014E-07
   129   0.225014E+04  -0.873460E+01   0.207080E-03  -0.873460E+01   0.108919E+01  -0.160627E-05   0.207080E-03  -0.160627E-05   0.862093E-07
   130   0.224682E+04  -0.107254E+02   0.213035E-03  -0.107254E+02   0.109426E+01  -0.157822E-05   0.213035E-03  -0.157822E-05   0.857192E-07
   131   0.225552E+04  -0.126979E+02   0.218495E-03  -0.126979E+02   0.109886E+01  -0.154841E-05   0.218495E-03  -0.154841E-05   0.852305E-07
   132   0.227562E+04  -0.146456E+02   0.223455E-03  -0.146456E+02   0.110299E+01  -0.151701E-05   0.223455E-03  -0.151701E-05   0.847433E-07
   133   0.230609E+04  -0.165629E+02   0.227927E-03  -0.165629E+02   0.110662E+01  -0.148427E-05   0.227927E-03  -0.148427E-05   0.842577E-07
   134   0.234592E+04  -0.184439E+02   0.231926E-03  -0.184439E+02   0.110977E+01  -0.145040E-05   0.231926E-03  -0.145040E-05   0.837739E-07
   135   0.239409E+04  -0.202832E+02   0.235465E-03  -0.202832E+02   0.111242E+01  -0.141565E-05   0.235465E-03  -0.141565E-05   0.832921E-07
   136   0.244960E+04  -0.220747E+02   0.238558E-03  -0.220747E+02   0.111459E+01  -0.138024E-05   0.238558E-03  -0.138024E-05   0.828126E-07
   137   0.251142E+04  -0.238129E+02   0.241218E-03  -0.238129E+02   0.111625E+01  -0.134441E-05   0.241218E-03  -0.134441E-05   0.823354E-07
   138   0.257853E+04  -0.254921E+02   0.243459E-03  -0.254921E+02   0.111742E+01  -0.130837E-05   0.243459E-03  -0.130837E-05   0.818609E-07
   139   0.264992E+04  -0.271067E+02   0.245294E-03  -0.271067E+02   0.111810E+01  -0.127238E-05   0.245294E-03  -0.127238E-05   0.813891E-07
   140   0.272460E+04  -0.286510E+02   0.246738E-03  -0.286510E+02   0.111827E+01  -0.123665E-05   0.246738E-03  -0.123665E-05   0.809202E-07
   141   0.280152E+04  -0.301193E+02   0.247804E-03  -0.301193E+02   0.111797E+01  -0.120141E-05   0.247804E-03  -0.120141E-05   0.804546E-07
   142   0.287967E+04  -0.315059E+02   0.248505E-03  -0.315059E+02   0.111716E+01  -0.116690E-05   0.248505E-03  -0.116690E-05   0.799923E-07
   143   0.295806E+04  -0.328054E+02   0.248855E-03  -0.328054E+02   0.111587E+01  -0.113335E-05   0.248855E-03  -0.113335E-05   0.795335E-07
   144   0.303564E+04  -0.340119E+02   0.248868E-03  -0.340119E+02   0.111409E+01  -0.110098E-05   0.248868E-03  -0.110098E-05   0.790785E-07
   145   0.311142E+04  -0.351198E+02   0.248557E-03  -0.351198E+02   0.111182E+01  -0.107004E-05   0.248557E-03  -0.107004E-05   0.786274E-07
   146   0.318435E+04  -0.361237E+02   0.247936E-03  -0.361237E+02   0.110907E+01  -0.104074E-05   0.247936E-03  -0.104074E-05   0.781805E-07
   147   0.325343E+04  -0.370176E+02   0.247019E-03  -0.370176E+02   0.110586E+01  -0.101333E-05   0.247019E-03  -0.101333E-05   0.777378E-07
   148   0.331763E+04  -0.377961E+02   0.245820E-03  -0.377961E+02   0.110218E+01  -0.988019E-06   0.245820E-03  -0.988019E-06   0.772997E-07
   149   0.337593E+04  -0.384534E+02   0.244351E-03  -0.384534E+02   0.109805E+01  -0.965054E-06   0.244351E-03  -0.965054E-06   0.768662E-07
   150   0.342730E+04  -0.389840E+02   0.242626E-03  -0.389840E+02   0.109346E+01  -0.944660E-06   0.242626E-03  -0.944660E-06   0.764376E-07
   151   0.347098E+04  -0.393843E+02   0.240661E-03  -0.393843E+02   0.108842E+01  -0.927000E-06   0.240661E-03  -0.927000E-06   0.760141E-07
   152   0.350718E+04  -0.396587E+02   0.238471E-03  -0.396587E+02   0.108295E+01  -0.911962E-06   0.238471E-03  -0.911962E-06   0.755953E-07
   153   0.353636E+04  -0.398140E+02   0.236076E-03  -0.398140E+02   0.107705E+01  -0.899365E-06   0.236076E-03  -0.899365E-06   0.751812E-07
   154   0.355899E+04  -0.398567E+02   0.233493E-03  -0.398567E+02   0.107075E+01  -0.889029E-06   0.233493E-03  -0.889029E-06   0.747715E-07
   155   0.357554E+04  -0.397933E+02   0.230740E-03  -0.397933E+02   0.106404E+01  -0.880773E-06   0.230740E-03  -0.880773E-06   0.743660E-07
   156   0.358649E+04  -0.396305E+02   0.227835E-03  -0.396305E+02   0.105695E+01  -0.874418E-06   0.227835E-03  -0.874418E-06   0.739643E-07
   157   0.359227E+04  -0.393749E+02   0.224796E-03  -0.393749E+02   0.104946E+01  -0.869782E-06   0.224796E-03  -0.869782E-06   0.735664E-07
   158   0.359338E+04  -0.390330E+02   0.221641E-03  -0.390330E+02   0.104163E+01  -0.866685E-06   0.221641E-03  -0.866685E-06   0.731719E-07
   159   0.359025E+04  -0.386115E+02   0.218388E-03  -0.386115E+02   0.103343E+01  -0.864946E-06   0.218388E-03  -0.864946E-06   0.727807E-07
   160   0.358336E+04  -0.381171E+02   0.215056E-03  -0.381171E+02   0.102491E+01  -0.864386E-06   0.215056E-03  -0.864386E-06   0.723925E-07
   161   0.357316E+04  -0.375563E+02   0.211661E-03  -0.375563E+02   0.101606E+01  -0.864823E-06   0.211661E-03  -0.864823E-06   0.720070E-07
   162   0.356010E+04  -0.369359E+02   0.208223E-03  -0.369359E+02   0.100691E+01  -0.866078E-06   0.208223E-03  -0.866078E-06   0.716242E-07
   163   0.354465E+04  -0.362623E+02   0.204759E-03  -0.362623E+02   0.997490E+00  -0.867970E-06   0.204759E-03  -0.867970E-06   0.712436E-07
   164   0.352726E+04  -0.355424E+02   0.201286E-03  -0.355424E+02   0.987791E+00  -0.870317E-06   0.201286E-03  -0.870317E-06   0.708651E-07
   165   0.350839E+04  -0.347828E+02   0.197824E-03  -0.347828E+02   0.977841E+00  -0.872941E-06   0.197824E-03  -0.872941E-06   0.704885E-07
   166   0.348851E+04  -0.339901E+02   0.194390E-03  -0.339901E+02   0.967660E+00  -0.875660E-06   0.194390E-03  -0.875660E-06   0.701135E-07
   167   0.346807E+04  -0.331712E+02   0.191002E-03  -0.331712E+02   0.957271E+00  -0.878294E-06   0.191002E-03  -0.878294E-06   0.697399E-07
   168   0.344754E+04  -0.323328E+02   0.187678E-03  -0.323328E+02   0.946697E+00  -0.880663E-06   0.187678E-03  -0.880663E-06   0.693675E-07
   169   0.342738E+04  -0.314817E+02   0.184436E-03  -0.314817E+02   0.935959E+00  -0.882585E-06   0.184436E-03  -0.882585E-06   0.689960E-07
   170   0.340805E+04  -0.306247E+02   0.181294E-03  -0.306247E+02   0.925073E+00  -0.883881E-06   0.181294E-03  -0.883881E-06   0.686252E-07
