#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1736   0.406543E+03  -0.283881E+02   0.248946E-05  -0.283881E+02   0.930152E+01   0.536815E-07   0.248946E-05   0.536815E-07   0.179984E-08
  1737   0.406601E+03  -0.280937E+02   0.248263E-05  -0.280937E+02   0.919798E+01   0.516297E-07   0.248263E-05   0.516297E-07   0.179718E-08
  1738   0.406637E+03  -0.277956E+02   0.247537E-05  -0.277956E+02   0.909614E+01   0.495360E-07   0.247537E-05   0.495360E-07   0.179453E-08
  1739   0.406653E+03  -0.274935E+02   0.246778E-05  -0.274935E+02   0.899609E+01   0.473980E-07   0.246778E-05   0.473980E-07   0.179187E-08
  1740   0.406648E+03  -0.271879E+02   0.245998E-05  -0.271879E+02   0.889782E+01   0.452135E-07   0.245998E-05   0.452135E-07   0.178923E-08
  1741   0.406623E+03  -0.268788E+02   0.245207E-05  -0.268788E+02   0.880134E+01   0.429800E-07   0.245207E-05   0.429800E-07   0.178659E-08
  1742   0.406576E+03  -0.265664E+02   0.244418E-05  -0.265664E+02   0.870671E+01   0.406953E-07   0.244418E-05   0.406953E-07   0.178395E-08
  1743   0.406508E+03  -0.262507E+02   0.243639E-05  -0.262507E+02   0.861386E+01   0.383569E-07   0.243639E-05   0.383569E-07   0.178132E-08
  1744   0.406418E+03  -0.259319E+02   0.242883E-05  -0.259319E+02   0.852294E+01   0.359626E-07   0.242883E-05   0.359626E-07   0.177869E-08
  1745   0.406307E+03  -0.256102E+02   0.242161E-05  -0.256102E+02   0.843388E+01   0.335099E-07   0.242161E-05   0.335099E-07   0.177606E-08
  1746   0.406173E+03  -0.252857E+02   0.241483E-05  -0.252857E+02   0.834676E+01   0.309965E-07   0.241483E-05   0.309965E-07   0.177344E-08
  1747   0.406017E+03  -0.249584E+02   0.240861E-05  -0.249584E+02   0.826149E+01   0.284201E-07   0.240861E-05   0.284201E-07   0.177083E-08
  1748   0.405840E+03  -0.246287E+02   0.240305E-05  -0.246287E+02   0.817822E+01   0.257784E-07   0.240305E-05   0.257784E-07   0.176821E-08
  1749   0.405639E+03  -0.242965E+02   0.239826E-05  -0.242965E+02   0.809688E+01   0.230689E-07   0.239826E-05   0.230689E-07   0.176561E-08
  1750   0.405417E+03  -0.239621E+02   0.239436E-05  -0.239621E+02   0.801748E+01   0.202893E-07   0.239436E-05   0.202893E-07   0.176300E-08
  1751   0.405172E+03  -0.236256E+02   0.239142E-05  -0.236256E+02   0.794008E+01   0.174385E-07   0.239142E-05   0.174385E-07   0.176040E-08
  1752   0.404904E+03  -0.232871E+02   0.238942E-05  -0.232871E+02   0.786469E+01   0.145196E-07   0.238942E-05   0.145196E-07   0.175780E-08
  1753   0.404615E+03  -0.229469E+02   0.238830E-05  -0.229469E+02   0.779130E+01   0.115373E-07   0.238830E-05   0.115373E-07   0.175521E-08
  1754   0.404303E+03  -0.226049E+02   0.238799E-05  -0.226049E+02   0.771992E+01   0.849579E-08   0.238799E-05   0.849579E-08   0.175262E-08
  1755   0.403968E+03  -0.222616E+02   0.238846E-05  -0.222616E+02   0.765061E+01   0.539963E-08   0.238846E-05   0.539963E-08   0.175004E-08
  1756   0.403611E+03  -0.219167E+02   0.238962E-05  -0.219167E+02   0.758332E+01   0.225323E-08   0.238962E-05   0.225323E-08   0.174746E-08
  1757   0.403230E+03  -0.215707E+02   0.239144E-05  -0.215707E+02   0.751810E+01  -0.938964E-09   0.239144E-05  -0.938964E-09   0.174488E-08
  1758   0.402827E+03  -0.212236E+02   0.239384E-05  -0.212236E+02   0.745488E+01  -0.417252E-08   0.239384E-05  -0.417252E-08   0.174230E-08
  1759   0.402401E+03  -0.208756E+02   0.239678E-05  -0.208756E+02   0.739380E+01  -0.744300E-08   0.239678E-05  -0.744300E-08   0.173973E-08
  1760   0.401953E+03  -0.205267E+02   0.240019E-05  -0.205267E+02   0.733476E+01  -0.107460E-07   0.240019E-05  -0.107460E-07   0.173717E-08
  1761   0.401481E+03  -0.201772E+02   0.240402E-05  -0.201772E+02   0.727780E+01  -0.140770E-07   0.240402E-05  -0.140770E-07   0.173461E-08
  1762   0.400987E+03  -0.198271E+02   0.240821E-05  -0.198271E+02   0.722293E+01  -0.174316E-07   0.240821E-05  -0.174316E-07   0.173205E-08
  1763   0.400470E+03  -0.194767E+02   0.241270E-05  -0.194767E+02   0.717015E+01  -0.208054E-07   0.241270E-05  -0.208054E-07   0.172949E-08
  1764   0.399930E+03  -0.191261E+02   0.241743E-05  -0.191261E+02   0.711945E+01  -0.241940E-07   0.241743E-05  -0.241940E-07   0.172694E-08
  1765   0.399368E+03  -0.187753E+02   0.242236E-05  -0.187753E+02   0.707085E+01  -0.275928E-07   0.242236E-05  -0.275928E-07   0.172440E-08
  1766   0.398784E+03  -0.184248E+02   0.242741E-05  -0.184248E+02   0.702436E+01  -0.309976E-07   0.242741E-05  -0.309976E-07   0.172186E-08
  1767   0.398178E+03  -0.180744E+02   0.243253E-05  -0.180744E+02   0.697996E+01  -0.344037E-07   0.243253E-05  -0.344037E-07   0.171932E-08
  1768   0.397549E+03  -0.177243E+02   0.243767E-05  -0.177243E+02   0.693767E+01  -0.378068E-07   0.243767E-05  -0.378068E-07   0.171678E-08
  1769   0.396900E+03  -0.173748E+02   0.244276E-05  -0.173748E+02   0.689748E+01  -0.412025E-07   0.244276E-05  -0.412025E-07   0.171425E-08
  1770   0.396228E+03  -0.170260E+02   0.244776E-05  -0.170260E+02   0.685939E+01  -0.445863E-07   0.244776E-05  -0.445863E-07   0.171172E-08
  1771   0.395535E+03  -0.166780E+02   0.245259E-05  -0.166780E+02   0.682341E+01  -0.479538E-07   0.245259E-05  -0.479538E-07   0.170920E-08
  1772   0.394820E+03  -0.163308E+02   0.245721E-05  -0.163308E+02   0.678951E+01  -0.513005E-07   0.245721E-05  -0.513005E-07   0.170668E-08
  1773   0.394084E+03  -0.159847E+02   0.246156E-05  -0.159847E+02   0.675770E+01  -0.546221E-07   0.246156E-05  -0.546221E-07   0.170416E-08
  1774   0.393326E+03  -0.156398E+02   0.246557E-05  -0.156398E+02   0.672798E+01  -0.579140E-07   0.246557E-05  -0.579140E-07   0.170165E-08
  1775   0.392547E+03  -0.152962E+02   0.246919E-05  -0.152962E+02   0.670034E+01  -0.611718E-07   0.246919E-05  -0.611718E-07   0.169914E-08
  1776   0.391747E+03  -0.149541E+02   0.247237E-05  -0.149541E+02   0.667477E+01  -0.643912E-07   0.247237E-05  -0.643912E-07   0.169664E-08
  1777   0.390927E+03  -0.146135E+02   0.247504E-05  -0.146135E+02   0.665128E+01  -0.675676E-07   0.247504E-05  -0.675676E-07   0.169414E-08
  1778   0.390086E+03  -0.142747E+02   0.247716E-05  -0.142747E+02   0.662984E+01  -0.706966E-07   0.247716E-05  -0.706966E-07   0.169164E-08
  1779   0.389223E+03  -0.139376E+02   0.247865E-05  -0.139376E+02   0.661045E+01  -0.737738E-07   0.247865E-05  -0.737738E-07   0.168915E-08
  1780   0.388342E+03  -0.136026E+02   0.247946E-05  -0.136026E+02   0.659310E+01  -0.767947E-07   0.247946E-05  -0.767947E-07   0.168666E-08
  1781   0.387439E+03  -0.132696E+02   0.247954E-05  -0.132696E+02   0.657778E+01  -0.797550E-07   0.247954E-05  -0.797550E-07   0.168417E-08
  1782   0.386517E+03  -0.129390E+02   0.247883E-05  -0.129390E+02   0.656449E+01  -0.826501E-07   0.247883E-05  -0.826501E-07   0.168169E-08
  1783   0.385575E+03  -0.126105E+02   0.247727E-05  -0.126105E+02   0.655321E+01  -0.854756E-07   0.247727E-05  -0.854756E-07   0.167921E-08
  1784   0.384614E+03  -0.122846E+02   0.247480E-05  -0.122846E+02   0.654392E+01  -0.882272E-07   0.247480E-05  -0.882272E-07   0.167673E-08
  1785   0.383634E+03  -0.119613E+02   0.247136E-05  -0.119613E+02   0.653662E+01  -0.909003E-07   0.247136E-05  -0.909003E-07   0.167426E-08
  1786   0.382635E+03  -0.116406E+02   0.246691E-05  -0.116406E+02   0.653129E+01  -0.934906E-07   0.246691E-05  -0.934906E-07   0.167180E-08
  1787   0.381617E+03  -0.113228E+02   0.246137E-05  -0.113228E+02   0.652792E+01  -0.959935E-07   0.246137E-05  -0.959935E-07   0.166933E-08
  1788   0.380581E+03  -0.110078E+02   0.245469E-05  -0.110078E+02   0.652649E+01  -0.984047E-07   0.245469E-05  -0.984047E-07   0.166687E-08
  1789   0.379526E+03  -0.106960E+02   0.244682E-05  -0.106960E+02   0.652698E+01  -0.100720E-06   0.244682E-05  -0.100720E-06   0.166442E-08
  1790   0.378455E+03  -0.103873E+02   0.243770E-05  -0.103873E+02   0.652939E+01  -0.102934E-06   0.243770E-05  -0.102934E-06   0.166196E-08
  1791   0.377364E+03  -0.100818E+02   0.242726E-05  -0.100818E+02   0.653369E+01  -0.105043E-06   0.242726E-05  -0.105043E-06   0.165951E-08
  1792   0.376257E+03  -0.977969E+01   0.241546E-05  -0.977969E+01   0.653986E+01  -0.107043E-06   0.241546E-05  -0.107043E-06   0.165707E-08
  1793   0.375133E+03  -0.948109E+01   0.240223E-05  -0.948109E+01   0.654789E+01  -0.108929E-06   0.240223E-05  -0.108929E-06   0.165463E-08
  1794   0.373990E+03  -0.918608E+01   0.238751E-05  -0.918608E+01   0.655775E+01  -0.110697E-06   0.238751E-05  -0.110697E-06   0.165219E-08
  1795   0.372832E+03  -0.889473E+01   0.237126E-05  -0.889473E+01   0.656943E+01  -0.112341E-06   0.237126E-05  -0.112341E-06   0.164976E-08
  1796   0.371657E+03  -0.860710E+01   0.235341E-05  -0.860710E+01   0.658290E+01  -0.113859E-06   0.235341E-05  -0.113859E-06   0.164732E-08
  1797   0.370465E+03  -0.832343E+01   0.233390E-05  -0.832343E+01   0.659815E+01  -0.115245E-06   0.233390E-05  -0.115245E-06   0.164490E-08
  1798   0.369258E+03  -0.804378E+01   0.231267E-05  -0.804378E+01   0.661514E+01  -0.116494E-06   0.231267E-05  -0.116494E-06   0.164247E-08
  1799   0.368036E+03  -0.776809E+01   0.228968E-05  -0.776809E+01   0.663388E+01  -0.117603E-06   0.228968E-05  -0.117603E-06   0.164005E-08
  1800   0.366798E+03  -0.749664E+01   0.226486E-05  -0.749664E+01   0.665431E+01  -0.118567E-06   0.226486E-05  -0.118567E-06   0.163764E-08
  1801   0.365546E+03  -0.722944E+01   0.223817E-05  -0.722944E+01   0.667643E+01  -0.119384E-06   0.223817E-05  -0.119384E-06   0.163523E-08
  1802   0.364279E+03  -0.696658E+01   0.220973E-05  -0.696658E+01   0.670021E+01  -0.120057E-06   0.220973E-05  -0.120057E-06   0.163282E-08
  1803   0.362999E+03  -0.670817E+01   0.217963E-05  -0.670817E+01   0.672563E+01  -0.120592E-06   0.217963E-05  -0.120592E-06   0.163041E-08
  1804   0.361705E+03  -0.645428E+01   0.214800E-05  -0.645428E+01   0.675266E+01  -0.120997E-06   0.214800E-05  -0.120997E-06   0.162801E-08
  1805   0.360398E+03  -0.620497E+01   0.211496E-05  -0.620497E+01   0.678128E+01  -0.121276E-06   0.211496E-05  -0.121276E-06   0.162561E-08
  1806   0.359079E+03  -0.596034E+01   0.208063E-05  -0.596034E+01   0.681145E+01  -0.121435E-06   0.208063E-05  -0.121435E-06   0.162322E-08
  1807   0.357748E+03  -0.572043E+01   0.204513E-05  -0.572043E+01   0.684315E+01  -0.121481E-06   0.204513E-05  -0.121481E-06   0.162083E-08
  1808   0.356405E+03  -0.548534E+01   0.200857E-05  -0.548534E+01   0.687636E+01  -0.121421E-06   0.200857E-05  -0.121421E-06   0.161844E-08
  1809   0.355050E+03  -0.525513E+01   0.197107E-05  -0.525513E+01   0.691104E+01  -0.121258E-06   0.197107E-05  -0.121258E-06   0.161606E-08
  1810   0.353684E+03  -0.502988E+01   0.193276E-05  -0.502988E+01   0.694717E+01  -0.121001E-06   0.193276E-05  -0.121001E-06   0.161368E-08
  1811   0.352307E+03  -0.480965E+01   0.189376E-05  -0.480965E+01   0.698472E+01  -0.120654E-06   0.189376E-05  -0.120654E-06   0.161130E-08
  1812   0.350920E+03  -0.459447E+01   0.185417E-05  -0.459447E+01   0.702365E+01  -0.120224E-06   0.185417E-05  -0.120224E-06   0.160892E-08
  1813   0.349523E+03  -0.438443E+01   0.181413E-05  -0.438443E+01   0.706395E+01  -0.119717E-06   0.181413E-05  -0.119717E-06   0.160655E-08
  1814   0.348116E+03  -0.417958E+01   0.177374E-05  -0.417958E+01   0.710558E+01  -0.119139E-06   0.177374E-05  -0.119139E-06   0.160419E-08
  1815   0.346701E+03  -0.397997E+01   0.173314E-05  -0.397997E+01   0.714851E+01  -0.118496E-06   0.173314E-05  -0.118496E-06   0.160183E-08
  1816   0.345278E+03  -0.378565E+01   0.169243E-05  -0.378565E+01   0.719271E+01  -0.117794E-06   0.169243E-05  -0.117794E-06   0.159947E-08
  1817   0.343846E+03  -0.359669E+01   0.165174E-05  -0.359669E+01   0.723815E+01  -0.117038E-06   0.165174E-05  -0.117038E-06   0.159711E-08
  1818   0.342407E+03  -0.341312E+01   0.161118E-05  -0.341312E+01   0.728480E+01  -0.116236E-06   0.161118E-05  -0.116236E-06   0.159476E-08
  1819   0.340961E+03  -0.323499E+01   0.157088E-05  -0.323499E+01   0.733262E+01  -0.115393E-06   0.157088E-05  -0.115393E-06   0.159241E-08
  1820   0.339508E+03  -0.306234E+01   0.153095E-05  -0.306234E+01   0.738159E+01  -0.114514E-06   0.153095E-05  -0.114514E-06   0.159006E-08
  1821   0.338049E+03  -0.289522E+01   0.149152E-05  -0.289522E+01   0.743164E+01  -0.113607E-06   0.149152E-05  -0.113607E-06   0.158772E-08
  1822   0.336585E+03  -0.273366E+01   0.145269E-05  -0.273366E+01   0.748282E+01  -0.112676E-06   0.145269E-05  -0.112676E-06   0.158538E-08
  1823   0.335114E+03  -0.257771E+01   0.141460E-05  -0.257771E+01   0.753504E+01  -0.111729E-06   0.141460E-05  -0.111729E-06   0.158304E-08
  1824   0.333638E+03  -0.242742E+01   0.137736E-05  -0.242742E+01   0.758823E+01  -0.110771E-06   0.137736E-05  -0.110771E-06   0.158071E-08
  1825   0.332159E+03  -0.228278E+01   0.134108E-05  -0.228278E+01   0.764239E+01  -0.109808E-06   0.134108E-05  -0.109808E-06   0.157838E-08
  1826   0.330675E+03  -0.214385E+01   0.130589E-05  -0.214385E+01   0.769758E+01  -0.108846E-06   0.130589E-05  -0.108846E-06   0.157606E-08
  1827   0.329187E+03  -0.201063E+01   0.127191E-05  -0.201063E+01   0.775359E+01  -0.107891E-06   0.127191E-05  -0.107891E-06   0.157373E-08
  1828   0.327696E+03  -0.188313E+01   0.123925E-05  -0.188313E+01   0.781049E+01  -0.106950E-06   0.123925E-05  -0.106950E-06   0.157141E-08
  1829   0.326203E+03  -0.176139E+01   0.120804E-05  -0.176139E+01   0.786829E+01  -0.106027E-06   0.120804E-05  -0.106027E-06   0.156910E-08
  1830   0.324707E+03  -0.164543E+01   0.117838E-05  -0.164543E+01   0.792690E+01  -0.105130E-06   0.117838E-05  -0.105130E-06   0.156678E-08
  1831   0.323210E+03  -0.153525E+01   0.115042E-05  -0.153525E+01   0.798625E+01  -0.104265E-06   0.115042E-05  -0.104265E-06   0.156447E-08
  1832   0.321712E+03  -0.143088E+01   0.112425E-05  -0.143088E+01   0.804635E+01  -0.103436E-06   0.112425E-05  -0.103436E-06   0.156217E-08
  1833   0.320214E+03  -0.133232E+01   0.110000E-05  -0.133232E+01   0.810712E+01  -0.102651E-06   0.110000E-05  -0.102651E-06   0.155986E-08
  1834   0.318714E+03  -0.123957E+01   0.107779E-05  -0.123957E+01   0.816862E+01  -0.101915E-06   0.107779E-05  -0.101915E-06   0.155756E-08
  1835   0.317216E+03  -0.115264E+01   0.105774E-05  -0.115264E+01   0.823073E+01  -0.101234E-06   0.105774E-05  -0.101234E-06   0.155527E-08
  1836   0.315718E+03  -0.107155E+01   0.103997E-05  -0.107155E+01   0.829343E+01  -0.100615E-06   0.103997E-05  -0.100615E-06   0.155297E-08
  1837   0.314220E+03  -0.996294E+00   0.102459E-05  -0.996294E+00   0.835672E+01  -0.100063E-06   0.102459E-05  -0.100063E-06   0.155068E-08
  1838   0.312724E+03  -0.926879E+00   0.101172E-05  -0.926879E+00   0.842053E+01  -0.995847E-07   0.101172E-05  -0.995847E-07   0.154840E-08
  1839   0.311229E+03  -0.863302E+00   0.100149E-05  -0.863302E+00   0.848486E+01  -0.991858E-07   0.100149E-05  -0.991858E-07   0.154611E-08
  1840   0.309737E+03  -0.805549E+00   0.994016E-06  -0.805549E+00   0.854964E+01  -0.988723E-07   0.994016E-06  -0.988723E-07   0.154383E-08
  1841   0.308248E+03  -0.753611E+00   0.989410E-06  -0.753611E+00   0.861486E+01  -0.986503E-07   0.989410E-06  -0.986503E-07   0.154155E-08
  1842   0.306761E+03  -0.707472E+00   0.987795E-06  -0.707472E+00   0.868038E+01  -0.985258E-07   0.987795E-06  -0.985258E-07   0.153928E-08
  1843   0.305278E+03  -0.667125E+00   0.989289E-06  -0.667125E+00   0.874635E+01  -0.985048E-07   0.989289E-06  -0.985048E-07   0.153701E-08
  1844   0.303799E+03  -0.632561E+00   0.994011E-06  -0.632561E+00   0.881261E+01  -0.985934E-07   0.994011E-06  -0.985934E-07   0.153474E-08
  1845   0.302324E+03  -0.603756E+00   0.100208E-05  -0.603756E+00   0.887910E+01  -0.987976E-07   0.100208E-05  -0.987976E-07   0.153247E-08
  1846   0.300854E+03  -0.580704E+00   0.101362E-05  -0.580704E+00   0.894588E+01  -0.991233E-07   0.101362E-05  -0.991233E-07   0.153021E-08
  1847   0.299390E+03  -0.563380E+00   0.102874E-05  -0.563380E+00   0.901289E+01  -0.995767E-07   0.102874E-05  -0.995767E-07   0.152795E-08
  1848   0.297931E+03  -0.551755E+00   0.104757E-05  -0.551755E+00   0.908004E+01  -0.100164E-06   0.104757E-05  -0.100164E-06   0.152569E-08
  1849   0.296477E+03  -0.545812E+00   0.107022E-05  -0.545812E+00   0.914735E+01  -0.100891E-06   0.107022E-05  -0.100891E-06   0.152344E-08
  1850   0.295030E+03  -0.545522E+00   0.109681E-05  -0.545522E+00   0.921472E+01  -0.101763E-06   0.109681E-05  -0.101763E-06   0.152119E-08
  1851   0.293589E+03  -0.550876E+00   0.112742E-05  -0.550876E+00   0.928218E+01  -0.102785E-06   0.112742E-05  -0.102785E-06   0.151894E-08
  1852   0.292156E+03  -0.561841E+00   0.116193E-05  -0.561841E+00   0.934963E+01  -0.103953E-06   0.116193E-05  -0.103953E-06   0.151670E-08
  1853   0.290730E+03  -0.578381E+00   0.120022E-05  -0.578381E+00   0.941715E+01  -0.105262E-06   0.120022E-05  -0.105262E-06   0.151445E-08
  1854   0.289311E+03  -0.600457E+00   0.124211E-05  -0.600457E+00   0.948453E+01  -0.106706E-06   0.124211E-05  -0.106706E-06   0.151222E-08
  1855   0.287900E+03  -0.628011E+00   0.128746E-05  -0.628011E+00   0.955191E+01  -0.108278E-06   0.128746E-05  -0.108278E-06   0.150998E-08
  1856   0.286499E+03  -0.661017E+00   0.133613E-05  -0.661017E+00   0.961914E+01  -0.109975E-06   0.133613E-05  -0.109975E-06   0.150775E-08
  1857   0.285105E+03  -0.699427E+00   0.138796E-05  -0.699427E+00   0.968629E+01  -0.111789E-06   0.138796E-05  -0.111789E-06   0.150552E-08
  1858   0.283721E+03  -0.743191E+00   0.144280E-05  -0.743191E+00   0.975323E+01  -0.113715E-06   0.144280E-05  -0.113715E-06   0.150329E-08
  1859   0.282345E+03  -0.792268E+00   0.150050E-05  -0.792268E+00   0.981993E+01  -0.115748E-06   0.150050E-05  -0.115748E-06   0.150107E-08
  1860   0.280981E+03  -0.846609E+00   0.156092E-05  -0.846609E+00   0.988642E+01  -0.117883E-06   0.156092E-05  -0.117883E-06   0.149885E-08
  1861   0.279625E+03  -0.906159E+00   0.162390E-05  -0.906159E+00   0.995268E+01  -0.120112E-06   0.162390E-05  -0.120112E-06   0.149663E-08
  1862   0.278279E+03  -0.970861E+00   0.168929E-05  -0.970861E+00   0.100186E+02  -0.122431E-06   0.168929E-05  -0.122431E-06   0.149442E-08
  1863   0.276945E+03  -0.104067E+01   0.175695E-05  -0.104067E+01   0.100842E+02  -0.124835E-06   0.175695E-05  -0.124835E-06   0.149221E-08
  1864   0.275622E+03  -0.111554E+01   0.182671E-05  -0.111554E+01   0.101495E+02  -0.127317E-06   0.182671E-05  -0.127317E-06   0.149000E-08
  1865   0.274309E+03  -0.119540E+01   0.189845E-05  -0.119540E+01   0.102142E+02  -0.129872E-06   0.189845E-05  -0.129872E-06   0.148780E-08
  1866   0.273007E+03  -0.128021E+01   0.197199E-05  -0.128021E+01   0.102787E+02  -0.132494E-06   0.197199E-05  -0.132494E-06   0.148560E-08
  1867   0.271718E+03  -0.136990E+01   0.204720E-05  -0.136990E+01   0.103426E+02  -0.135177E-06   0.204720E-05  -0.135177E-06   0.148340E-08
  1868   0.270440E+03  -0.146440E+01   0.212393E-05  -0.146440E+01   0.104061E+02  -0.137917E-06   0.212393E-05  -0.137917E-06   0.148120E-08
  1869   0.269174E+03  -0.156366E+01   0.220201E-05  -0.156366E+01   0.104690E+02  -0.140707E-06   0.220201E-05  -0.140707E-06   0.147901E-08
  1870   0.267922E+03  -0.166759E+01   0.228132E-05  -0.166759E+01   0.105314E+02  -0.143541E-06   0.228132E-05  -0.143541E-06   0.147683E-08
  1871   0.266681E+03  -0.177613E+01   0.236168E-05  -0.177613E+01   0.105932E+02  -0.146415E-06   0.236168E-05  -0.146415E-06   0.147464E-08
  1872   0.265454E+03  -0.188921E+01   0.244296E-05  -0.188921E+01   0.106544E+02  -0.149322E-06   0.244296E-05  -0.149322E-06   0.147246E-08
  1873   0.264239E+03  -0.200677E+01   0.252501E-05  -0.200677E+01   0.107150E+02  -0.152257E-06   0.252501E-05  -0.152257E-06   0.147029E-08
  1874   0.263038E+03  -0.212873E+01   0.260767E-05  -0.212873E+01   0.107749E+02  -0.155214E-06   0.260767E-05  -0.155214E-06   0.146811E-08
  1875   0.261850E+03  -0.225501E+01   0.269080E-05  -0.225501E+01   0.108341E+02  -0.158188E-06   0.269080E-05  -0.158188E-06   0.146594E-08
  1876   0.260677E+03  -0.238554E+01   0.277424E-05  -0.238554E+01   0.108925E+02  -0.161172E-06   0.277424E-05  -0.161172E-06   0.146378E-08
  1877   0.259517E+03  -0.252023E+01   0.285785E-05  -0.252023E+01   0.109503E+02  -0.164162E-06   0.285785E-05  -0.164162E-06   0.146161E-08
  1878   0.258372E+03  -0.265901E+01   0.294147E-05  -0.265901E+01   0.110073E+02  -0.167151E-06   0.294147E-05  -0.167151E-06   0.145945E-08
  1879   0.257241E+03  -0.280181E+01   0.302496E-05  -0.280181E+01   0.110635E+02  -0.170135E-06   0.302496E-05  -0.170135E-06   0.145730E-08
  1880   0.256125E+03  -0.294853E+01   0.310816E-05  -0.294853E+01   0.111189E+02  -0.173106E-06   0.310816E-05  -0.173106E-06   0.145514E-08
  1881   0.255023E+03  -0.309911E+01   0.319093E-05  -0.309911E+01   0.111733E+02  -0.176061E-06   0.319093E-05  -0.176061E-06   0.145299E-08
  1882   0.253937E+03  -0.325346E+01   0.327312E-05  -0.325346E+01   0.112270E+02  -0.178993E-06   0.327312E-05  -0.178993E-06   0.145085E-08
  1883   0.252866E+03  -0.341149E+01   0.335457E-05  -0.341149E+01   0.112797E+02  -0.181896E-06   0.335457E-05  -0.181896E-06   0.144871E-08
  1884   0.251809E+03  -0.357312E+01   0.343514E-05  -0.357312E+01   0.113316E+02  -0.184765E-06   0.343514E-05  -0.184765E-06   0.144657E-08
  1885   0.250768E+03  -0.373830E+01   0.351468E-05  -0.373830E+01   0.113824E+02  -0.187594E-06   0.351468E-05  -0.187594E-06   0.144443E-08
  1886   0.249744E+03  -0.390690E+01   0.359303E-05  -0.390690E+01   0.114322E+02  -0.190377E-06   0.359303E-05  -0.190377E-06   0.144230E-08
  1887   0.248734E+03  -0.407887E+01   0.367005E-05  -0.407887E+01   0.114811E+02  -0.193110E-06   0.367005E-05  -0.193110E-06   0.144018E-08
  1888   0.247740E+03  -0.425410E+01   0.374559E-05  -0.425410E+01   0.115289E+02  -0.195786E-06   0.374559E-05  -0.195786E-06   0.143805E-08
  1889   0.246762E+03  -0.443250E+01   0.381950E-05  -0.443250E+01   0.115757E+02  -0.198400E-06   0.381950E-05  -0.198400E-06   0.143593E-08
  1890   0.245800E+03  -0.461396E+01   0.389162E-05  -0.461396E+01   0.116215E+02  -0.200945E-06   0.389162E-05  -0.200945E-06   0.143382E-08
  1891   0.244854E+03  -0.479841E+01   0.396181E-05  -0.479841E+01   0.116661E+02  -0.203417E-06   0.396181E-05  -0.203417E-06   0.143171E-08
  1892   0.243925E+03  -0.498573E+01   0.402992E-05  -0.498573E+01   0.117097E+02  -0.205810E-06   0.402992E-05  -0.205810E-06   0.142960E-08
  1893   0.243012E+03  -0.517584E+01   0.409580E-05  -0.517584E+01   0.117521E+02  -0.208118E-06   0.409580E-05  -0.208118E-06   0.142749E-08
  1894   0.242116E+03  -0.536864E+01   0.415929E-05  -0.536864E+01   0.117934E+02  -0.210336E-06   0.415929E-05  -0.210336E-06   0.142539E-08
  1895   0.241236E+03  -0.556402E+01   0.422025E-05  -0.556402E+01   0.118336E+02  -0.212457E-06   0.422025E-05  -0.212457E-06   0.142330E-08
  1896   0.240373E+03  -0.576190E+01   0.427854E-05  -0.576190E+01   0.118726E+02  -0.214477E-06   0.427854E-05  -0.214477E-06   0.142120E-08
  1897   0.239527E+03  -0.596219E+01   0.433399E-05  -0.596219E+01   0.119104E+02  -0.216389E-06   0.433399E-05  -0.216389E-06   0.141911E-08
  1898   0.238697E+03  -0.616480E+01   0.438646E-05  -0.616480E+01   0.119469E+02  -0.218188E-06   0.438646E-05  -0.218188E-06   0.141703E-08
  1899   0.237884E+03  -0.636963E+01   0.443580E-05  -0.636963E+01   0.119823E+02  -0.219869E-06   0.443580E-05  -0.219869E-06   0.141495E-08
  1900   0.237089E+03  -0.657659E+01   0.448185E-05  -0.657659E+01   0.120164E+02  -0.221425E-06   0.448185E-05  -0.221425E-06   0.141287E-08
  1901   0.236310E+03  -0.678559E+01   0.452451E-05  -0.678559E+01   0.120492E+02  -0.222853E-06   0.452451E-05  -0.222853E-06   0.141080E-08
  1902   0.235548E+03  -0.699651E+01   0.456373E-05  -0.699651E+01   0.120807E+02  -0.224150E-06   0.456373E-05  -0.224150E-06   0.140873E-08
  1903   0.234803E+03  -0.720924E+01   0.459953E-05  -0.720924E+01   0.121110E+02  -0.225317E-06   0.459953E-05  -0.225317E-06   0.140666E-08
  1904   0.234075E+03  -0.742376E+01   0.463190E-05  -0.742376E+01   0.121399E+02  -0.226353E-06   0.463190E-05  -0.226353E-06   0.140460E-08
  1905   0.233364E+03  -0.763982E+01   0.466086E-05  -0.763982E+01   0.121675E+02  -0.227259E-06   0.466086E-05  -0.227259E-06   0.140254E-08
  1906   0.232671E+03  -0.785740E+01   0.468639E-05  -0.785740E+01   0.121938E+02  -0.228034E-06   0.468639E-05  -0.228034E-06   0.140049E-08
  1907   0.231994E+03  -0.807643E+01   0.470850E-05  -0.807643E+01   0.122188E+02  -0.228678E-06   0.470850E-05  -0.228678E-06   0.139844E-08
  1908   0.231335E+03  -0.829669E+01   0.472720E-05  -0.829669E+01   0.122424E+02  -0.229191E-06   0.472720E-05  -0.229191E-06   0.139639E-08
  1909   0.230693E+03  -0.851816E+01   0.474248E-05  -0.851816E+01   0.122647E+02  -0.229573E-06   0.474248E-05  -0.229573E-06   0.139435E-08
  1910   0.230068E+03  -0.874078E+01   0.475435E-05  -0.874078E+01   0.122855E+02  -0.229823E-06   0.475435E-05  -0.229823E-06   0.139231E-08
