#    L    TT             EE             BB             TE             PP             TP             EP          
   141   0.280152E+04   0.111797E+01   0.000000E+00  -0.301193E+02   0.804542E-07   0.247770E-03  -0.120133E-05
   142   0.287967E+04   0.111716E+01   0.000000E+00  -0.315059E+02   0.799920E-07   0.248474E-03  -0.116682E-05
   143   0.295806E+04   0.111587E+01   0.000000E+00  -0.328054E+02   0.795332E-07   0.248828E-03  -0.113327E-05
   144   0.303564E+04   0.111409E+01   0.000000E+00  -0.340119E+02   0.790782E-07   0.248845E-03  -0.110091E-05
   145   0.311142E+04   0.111182E+01   0.000000E+00  -0.351198E+02   0.786272E-07   0.248538E-03  -0.106997E-05
   146   0.318435E+04   0.110907E+01   0.000000E+00  -0.361237E+02   0.781803E-07   0.247922E-03  -0.104069E-05
   147   0.325343E+04   0.110586E+01   0.000000E+00  -0.370176E+02   0.777376E-07   0.247009E-03  -0.101328E-05
   148   0.331763E+04   0.110218E+01   0.000000E+00  -0.377961E+02   0.772996E-07   0.245813E-03  -0.987987E-06
   149   0.337593E+04   0.109805E+01   0.000000E+00  -0.384534E+02   0.768661E-07   0.244348E-03  -0.965037E-06
   150   0.342730E+04   0.109346E+01   0.000000E+00  -0.389840E+02   0.764376E-07   0.242626E-03  -0.944660E-06
   151   0.347098E+04   0.108842E+01   0.000000E+00  -0.393843E+02   0.760141E-07   0.240663E-03  -0.927017E-06
   152   0.350718E+04   0.108295E+01   0.000000E+00  -0.396587E+02   0.755954E-07   0.238475E-03  -0.911997E-06
   153   0.353636E+04   0.107705E+01   0.000000E+00  -0.398140E+02   0.751814E-07   0.236081E-03  -0.899418E-06
   154   0.355899E+04   0.107075E+01   0.000000E+00  -0.398567E+02   0.747717E-07   0.233499E-03  -0.889099E-06
   155   0.357555E+04   0.106404E+01   0.000000E+00  -0.397933E+02   0.743662E-07   0.230746E-03  -0.880860E-06
   156   0.358649E+04   0.105695E+01   0.000000E+00  -0.396305E+02   0.739647E-07   0.227841E-03  -0.874520E-06
   157   0.359227E+04   0.104946E+01   0.000000E+00  -0.393749E+02   0.735668E-07   0.224802E-03  -0.869897E-06
   158   0.359338E+04   0.104163E+01   0.000000E+00  -0.390330E+02   0.731723E-07   0.221647E-03  -0.866811E-06
   159   0.359025E+04   0.103343E+01   0.000000E+00  -0.386115E+02   0.727811E-07   0.218394E-03  -0.865082E-06
   160   0.358336E+04   0.102491E+01   0.000000E+00  -0.381171E+02   0.723929E-07   0.215061E-03  -0.864528E-06
   161   0.357316E+04   0.101606E+01   0.000000E+00  -0.375563E+02   0.720075E-07   0.211666E-03  -0.864970E-06
   162   0.356010E+04   0.100691E+01   0.000000E+00  -0.369359E+02   0.716246E-07   0.208226E-03  -0.866227E-06
   163   0.354465E+04   0.997490E+00   0.000000E+00  -0.362623E+02   0.712441E-07   0.204761E-03  -0.868118E-06
